OM	w
0.002420697	-0.202048538
0.009518736	-0.208247334
0.016616891	-0.214962697
0.023714929	-0.221161493
0.030812852	-0.226843723
0.037911239	-0.234592219
0.045008698	-0.238208183
0.052106853	-0.244923546
0.059204891	-0.251122342
0.066302698	-0.256288006
0.073400737	-0.262486802
0.08049866	-0.268169032
0.087596583	-0.273851262
0.094694274	-0.278500359
0.101792892	-0.287281987
0.108891162	-0.294513916
0.115989317	-0.301229279
0.123087471	-0.307944642
0.130185626	-0.314660004
0.137283665	-0.3208588
0.144382398	-0.330156995
0.151480437	-0.336355791
0.158579518	-0.347203685
0.165677904	-0.35495218
0.172776522	-0.363733808
0.17987514	-0.372515436
0.186973989	-0.382330197
0.194073186	-0.393694657
0.201172036	-0.403509418
0.208270654	-0.412291046
0.215369735	-0.423138939
0.222469048	-0.435019965
0.22956836	-0.446900992
0.236667441	-0.457748885
0.24376687	-0.470146478
0.250865951	-0.480994371
0.257965959	-0.495974796
0.265065156	-0.507339256
0.272164816	-0.520769981
0.279264708	-0.535233839
0.286364715	-0.550214263
0.293464492	-0.564161555
0.300564615	-0.579658546
0.307664623	-0.59463897
0.314765094	-0.61168566
0.321865333	-0.627699217
0.328966267	-0.646812172
0.336066738	-0.663858862
0.343167904	-0.68400495
0.350268954	-0.703634471
0.357370352	-0.724813692
0.364472213	-0.748059178
0.371573842	-0.770271532
0.378676398	-0.796616416
0.385778722	-0.821928167
0.39288232	-0.852922149
0.399985571	-0.882366431
0.407090559	-0.919559209
0.413603233	-0.952619456
0.419525585	-0.990432113
0.425111113	-1.033203808
0.430485137	-1.074658258
0.434338044	-1.114304726
0.437893086	-1.144265575
0.440857922	-1.1794954
0.443468922	-1.219167696
0.445409243	-1.25687704
0.448320364	-1.303736989
0.450160147	-1.345209888
0.452587633	-1.401644762
0.452983379	-1.452242437
0.454531156	-1.497596963
0.456078469	-1.540885224
0.456027287	-1.576373333
0.458124651	-1.699057843
0.457540607	-1.743095125
0.456961624	-1.787132407
0.455180339	-1.811540167
0.454212761	-1.835947927
0.451855551	-1.873140705
0.447950163	-1.913432881
0.441620356	-1.942360597
0.43453054	-1.972838012
0.427436787	-1.985752171
0.420340602	-1.987818436
0.413243953	-1.987818436
0.406147304	-1.987818436
0.399050655	-1.987818436
0.391954006	-1.987818436
0.384857357	-1.987818436
0.377760477	-1.986785304
0.370662786	-1.982136207
0.363562894	-1.967672349
0.356463234	-1.954241623
0.349362531	-1.936161801
0.342262176	-1.919631677
0.335160083	-1.895353058
0.328059149	-1.876240103
0.320956014	-1.847312387
0.313852995	-1.818901238
0.306748007	-1.78170846
0.299762478	-1.749784659
0.296004701	-1.719941882
0.29134987	-1.683302569
0.287201761	-1.645851508
0.283644982	-1.608142164
0.279496062	-1.567075138
0.275347606	-1.528074378
0.271791452	-1.493154492
0.268529857	-1.453172256
0.262902729	-1.413267505
0.257964646	-1.369316318
0.252492308	-1.328974945
0.247585093	-1.297095421
0.244029323	-1.263887584
0.238141995	-1.231565289
0.234863745	-1.205220405
0.229138452	-1.167097808
0.222624828	-1.129801716
0.215519377	-1.090542673
0.208414736	-1.054899595
0.201310559	-1.021322781
0.194207424	-0.992395065
0.187103942	-0.96191765
0.180001733	-0.937122465
0.172899062	-0.910261015
0.165797317	-0.887532095
0.15869534	-0.863770042
0.15159429	-0.844140521
0.144492777	-0.822444734
0.137391727	-0.802815212
0.130290677	-0.783185691
0.12319009	-0.765622434
0.116089619	-0.748575745
0.108988916	-0.730495922
0.101888908	-0.715515498
0.094788322	-0.697952242
0.087688198	-0.682455251
0.080587843	-0.665925127
0.073487835	-0.650944703
0.066387249	-0.633381447
0.059287357	-0.618917589
0.05218677	-0.601354333
0.045086762	-0.586373908
0.037986407	-0.569843785
0.030886168	-0.553830228
0.023785697	-0.536783538
0.016686268	-0.524385945
0.009586145	-0.508888955
0.002485442	-0.490809132
