OM	w
0.001444231	-0.328796513
0.001448566	-0.333126791
0.001452902	-0.337457069
0.001457237	-0.341787347
0.001461572	-0.346117626
0.001465907	-0.350447904
0.001470242	-0.354778182
0.001474577	-0.359108460
0.001478912	-0.363438738
0.001483247	-0.367769016
0.002738980	-0.333121975
0.002743315	-0.337452253
0.002747650	-0.341782531
0.002751985	-0.346112809
0.002756320	-0.350443087
0.002760655	-0.354773365
0.002764990	-0.359103643
0.002769325	-0.363433921
0.002773660	-0.367764199
0.002777996	-0.372094477
0.004029393	-0.333117158
0.004033728	-0.337447436
0.004038063	-0.341777714
0.004042398	-0.346107992
0.004046733	-0.350438270
0.004051068	-0.354768548
0.004055403	-0.359098826
0.004059739	-0.363429104
0.004064074	-0.367759383
0.004068409	-0.372089661
0.005324141	-0.337442619
0.005328476	-0.341772897
0.005332811	-0.346103175
0.005337147	-0.350433453
0.005341482	-0.354763731
0.005345817	-0.359094010
0.005350152	-0.363424288
0.005354487	-0.367754566
0.005358822	-0.372084844
0.005363157	-0.376415122
0.006614554	-0.337437802
0.006618890	-0.341768080
0.006623225	-0.346098358
0.006627560	-0.350428637
0.006631895	-0.354758915
0.006636230	-0.359089193
0.006640565	-0.363419471
0.006644900	-0.367749749
0.006649235	-0.372080027
0.006653570	-0.376410305
0.007904968	-0.337432986
0.007909303	-0.341763264
0.007913638	-0.346093542
0.007917973	-0.350423820
0.007922308	-0.354754098
0.007926643	-0.359084376
0.007930978	-0.363414654
0.007935313	-0.367744932
0.007939648	-0.372075210
0.007943984	-0.376405488
0.007948319	-0.380735766
0.009195381	-0.337428169
0.009199716	-0.341758447
0.009204051	-0.346088725
0.009208386	-0.350419003
0.009212721	-0.354749281
0.009217056	-0.359079559
0.009221392	-0.363409837
0.009225727	-0.367740115
0.009230062	-0.372070394
0.009234397	-0.376400672
0.009238732	-0.380730950
0.009243067	-0.385061228
0.010490129	-0.341753630
0.010494464	-0.346083908
0.010498799	-0.350414186
0.010503135	-0.354744464
0.010507470	-0.359074742
0.010511805	-0.363405021
0.010516140	-0.367735299
0.010520475	-0.372065577
0.010524810	-0.376395855
0.010529145	-0.380726133
0.010533480	-0.385056411
0.010537815	-0.389386689
0.011780543	-0.341748813
0.011784878	-0.346079091
0.011789213	-0.350409369
0.011793548	-0.354739648
0.011797883	-0.359069926
0.011802218	-0.363400204
0.011806553	-0.367730482
0.011810888	-0.372060760
0.011815223	-0.376391038
0.011819558	-0.380721316
0.011823893	-0.385051594
0.011828229	-0.389381872
0.013075291	-0.346074275
0.013079626	-0.350404553
0.013083961	-0.354734831
0.013088296	-0.359065109
0.013092631	-0.363395387
0.013096966	-0.367725665
0.013101301	-0.372055943
0.013105637	-0.376386221
0.013109972	-0.380716499
0.013114307	-0.385046777
0.013118642	-0.389377056
0.013122977	-0.393707334
0.014365704	-0.346069458
0.014370039	-0.350399736
0.014374374	-0.354730014
0.014378709	-0.359060292
0.014383044	-0.363390570
0.014387380	-0.367720848
0.014391715	-0.372051126
0.014396050	-0.376381405
0.014400385	-0.380711683
0.014404720	-0.385041961
0.014409055	-0.389372239
0.014413390	-0.393702517
0.014417725	-0.398032795
0.015656117	-0.346064641
0.015660452	-0.350394919
0.015664788	-0.354725197
0.015669123	-0.359055475
0.015673458	-0.363385753
0.015677793	-0.367716032
